type,code,color
1급호텔,4,#1BCDDE
2급호텔,4,#7F3352
CATV,12,#F96E8F
DVD음반테이프판매,5,#744462
LPG,11,#8B18B3
가례서비스,2,#7AD4E3
가방,1,#34968F
가전제품,1,#38266C
가정용품수리,2,#B429B9
건강식품(회원제형태),1,#A68DDE
건강진단,10,#7984A2
건축요업품,7,#D6DCEA
견인서비스,2,#4A91EE
골동품점,1,#4B0849
골프경기장,9,#B9EB90
골프연습장,9,#FCE506
골프용품,1,#AD8CA7
공공요금,2,#A988B1
과학기자재,1,#1A79C1
관광여행,5,#041CA4
구내매점,1,#A55287
귀금속,1,#EF6C40
기계공구,1,#55F390
기념품점,1,#FE46D8
기능학원,3,#2C8323
기타가구,1,#45FB9E
기타건강식,1,#12BC6B
기타건축자재,7,#B5A65A
기타광학품,1,#C95912
기타교육,3,#267DC2
기타교통수단,11,#AC8CF1
기타농업관련,1,#DB7D39
기타대인서비스,2,#93DBC7
기타레져업,5,#3C7E68
기타보험,2,#A60082
기타비영리유통,7,#CC5BBD
기타사무용,1,#F8BEFB
기타서적문구,1,#709837
기타수리서비스,2,#A0A574
기타숙박업,4,#85392B
기타업종,13,#AC9FAC
기타연료,11,#3C2E94
기타용역서비스,2,#4F75D4
기타운송,11,#CAFBE4
기타유통업,7,#A3E292
기타음료식품,1,#13B891
기타의료기관및기기,10,#2EE830
기타의류,1,#0D8E9E
기타자동차서비스,2,#007435
기타잡화,1,#75028F
기타전기제품,1,#D6B8CA
기타직물,1,#0B49DF
기타회원제형태업소,5,#0FC765
내의판매점,1,#CB979B
냉열기기,1,#740779
노래방,5,#5BA359
농기계,7,#87B93B
농축수산품,0,#B11BDB
농축협직영매장,0,#6428E3
농협하나로클럽,0,#BF9AF5
단란주점,5,#BE90C8
단체복,1,#A0F4D3
당구장,5,#CCDBEF
대학등록금,3,#9C8C2D
대형할인점,1,#22FC85
독서실,3,#5172C4
동물병원,10,#2E98C1
레져업소(회원제형태),5,#09371D
레져용품수리,1,#F1FA6C
렌트카,2,#0476F7
맞춤복점,1,#207540
면세점,1,#91DFEE
목재석재철물,1,#B00A54
문구용품,1,#193ED8
문화취미기타,6,#553A1A
미곡상,0,#B0CCA0
미용원,2,#616862
미용재료,1,#FE8094
민예공예품,1,#EF3605
법률회계서비스,2,#DBD0C4
병원,10,#5E8465
보관창고업,2,#02B416
보습학원,3,#E434A4
보일러펌프,2,#C9C952
볼링장,9,#90544D
부동산분양,8,#C86D00
부동산중개임대,8,#32ACCC
비료농약사료종자,7,#03BDC0
사무기기,1,#70E71F
사무서비스,2,#215B5E
사무서비스(회원제형태),2,#472699
사무통신기기수리,2,#F9A1B5
사우나,2,#75027A
사진관,2,#310BC0
산후조리원,2,#35EB84
상품권,1,#DDDDFA
서양음식,1,#38906F
서적출판(회원제형태),2,#FE2E96
성인용품점,1,#CEE454
세차장,2,#8D414A
세탁소,2,#B266A5
소프트웨어,12,#BFFBE1
손해보험,2,#253161
수영장,5,#511D4E
수입자동차,1,#5AB2BE
수족관,5,#E133F8
슈퍼마켓,0,#A5E0D7
스넥,0,#4EFB1D
스포츠레져용품,1,#F66932
스포츠의류,1,#50841C
시계,1,#8389B7
신발,1,#904910
신변잡화수리,1,#FB53D7
아동의류,1,#442105
악기점,6,#34C1CC
악세사리,1,#7DEA2A
안경,1,#EFCA72
안마스포츠마사지,2,#6EF896
애완동물,1,#B64F5E
약국,10,#CA758F
양품점,1,#078367
여객선,2,#83B718
연쇄점,1,#C25FC2
영화관,5,#9A5C9F
예체능학원,3,#B13C79
옷감직물,1,#329214
완구점,1,#04D15B
외국어학원,3,#A93C15
위탁급식업,2,#944500
유류판매,1,#84E80B
유리,7,#592D21
유아원,3,#B04DD9
유흥주점,5,#2C9A48
윤활유전문판매,1,#19F82E
의료용품,10,#78D5EE
의원,10,#375D6A
이륜차판매,1,#3E2F3C
이용원,2,#501923
인삼제품,1,#000770
인터넷Mall,1,#62FCB3
인터넷종합Mall,1,#CE2E7E
인테리어,2,#37D50D
일반가구,7,#D91BD6
일반서적,1,#4DD781
일반한식,0,#6C990D
일식회집,0,#BA3772
자동차부품,1,#06026E
자동차시트타이어,1,#96ED6A
자동차정비,2,#EEFBEC
전문서적,1,#11F925
정기간행물,1,#E2720E
정보서비스,12,#BFD876
정수기,2,#E41BC9
정육점,0,#26B810
정장,1,#E655D9
제과점,0,#7D2B18
제약회사,10,#900CD3
제화점,1,#184389
조명기구,7,#42E86C
조세서비스,2,#916EE3
종합레져타운,5,#6ED521
종합병원,10,#6E07A7
종합용역,2,#70EB52
주류판매점,1,#29A864
주방용구,1,#05B319
주방용식기,1,#3FE1BA
주유소,11,#B73A6C
주점,5,#C5E478
주차장,11,#20B495
중고자동차,1,#14C545
중국음식,0,#F66F03
중장비수리,2,#5D4ABD
철제가구,7,#3D5D5E
초중고교육기관,3,#973688
출판인쇄물,7,#F682F2
치과병원,10,#1E27E4
치과의원,10,#2397DE
침구수예점,7,#0541D3
카메라,1,#DB4A03
카인테리어,7,#4E8575
카페트커텐천막,1,#705DF7
칵테일바,5,#E5B23D
캐쥬얼의류,1,#B8C14E
컴퓨터,12,#CA8719
컴퓨터학원,3,#B2AC2B
콘도,4,#844599
택시,11,#754312
테니스장,5,#D3E013
통신기기,12,#708B2E
특급호텔,4,#00598D
티켓,6,#3F2524
페인트,7,#7D8AFE
편의점,1,#634CEA
피부미용실,2,#02A085
학습지교육,3,#B1F709
학원(회원제형태),3,#049689
한약방,10,#AB810C
한의원,10,#A78153
항공사,11,#403E64
헬스크럽,5,#481008
홍삼제품,0,#CA8E97
화랑,6,#25F6A2
화물운송,11,#5D5E30
화방표구점,1,#443DBB
화원,1,#EBB14D
화장품,1,#7477CA
